city,lat,lng,capital,population,admin
Tiền Hải,20.405567,106.503651,minor,,Thái Bình
Cẩm Phả,21.010036,107.273451,minor,,Quảng Ninh
Nghèn,18.45119,105.77969,minor,,Hà Tĩnh
Quận Sáu,10.746795,106.649032,minor,,Hồ Chí Minh
Quận Năm,10.755665,106.667451,minor,,Hồ Chí Minh
Quận Một,10.780687,106.699444,minor,,Hồ Chí Minh
Quận Phú Nhuận,10.794752,106.676297,minor,,Hồ Chí Minh
Lai Vung,10.28701,105.661697,minor,,Đồng Tháp
Phú Ninh,15.554728,108.411423,minor,,Quảng Nam
Đắk Glei,15.086417,107.735768,minor,,Kon Tum
Thành Phố Bà Rịa,10.496292,107.168409,admin,,Bà Rịa-Vũng Tàu
Tây Đằng,21.198087,105.422172,minor,,Hà Nội
Tây Hồ,21.068947,105.810526,minor,,Hà Nội
Bình Sơn,15.297763,108.761237,minor,,Quảng Ngãi
Ia Kha,13.962419,107.844844,minor,,Gia Lai
Hữu Lũng,21.505597,106.344594,minor,,Lạng Sơn
Hà Trung,20.012846,105.853223,minor,,Thanh Hóa
Bo,20.672638,105.536246,minor,,Hòa Bình
Đại Lộc,15.882144,108.120918,minor,,Quảng Nam
Một Ngàn,9.924023,105.62964,minor,,Hậu Giang
Thị Trấn Việt Quang,22.415088,104.806816,minor,,Hà Giang
Bác Ái,11.841038,108.903158,minor,,Ninh Thuận
Thị Trấn Thanh Nhật,22.687495,106.670044,minor,,Cao Bằng
Ngã Bảy,9.813714,105.820956,minor,,Hậu Giang
Thống Nhất,10.950546,107.14571,minor,,Đồng Nai
Đồng Xoài,11.534946,106.88324,admin,,Bình Phước
Kim Bài,20.852649,105.769629,minor,,Hà Nội
Đồng Mỏ,21.657006,106.578315,minor,,Lạng Sơn
Sịa,16.574519,107.510663,minor,,Thừa Thiên-Huế
Thường Xuân,19.902945,105.347233,minor,,Thanh Hóa
Hiệp Đức,15.58224,108.114223,minor,,Quảng Nam
Lái Thiêu,10.905117,106.699487,minor,,Bình Dương
Tam Đường,22.318124,103.626189,minor,,Lai Châu
Đắk Tô,14.660919,107.838901,minor,,Kon Tum
Mê Linh,21.183103,105.720411,minor,,Hà Nội
Nam Đàn,18.697993,105.498807,minor,,Nghệ An
Yên Mỹ,20.885573,106.035599,minor,,Hưng Yên
Bắc Yên,21.246264,104.432807,minor,,Sơn La
Hậu Nghĩa,10.894344,106.396945,minor,,Long An
Bộc Bố,22.612057,105.667074,minor,,Bắc Kạn
Thị Trấn Mèo Vạc,23.164107,105.40993,minor,,Hà Giang
Thị Trấn Thuận Châu,21.43849,103.689996,minor,,Sơn La
Kế Sách,9.767432,105.98574,minor,,Sóc Trăng
Vân Canh,13.619451,108.998054,minor,,Bình Định
Gia Nghĩa,12.00423,107.690735,admin,,Đắk Nông
Diêm Điền,20.558315,106.568821,minor,,Thái Bình
Huỳnh Hữu Nghĩa,9.635372,105.811654,minor,,Sóc Trăng
Hà Đông,20.97136,105.778758,minor,,Hà Nội
Lim,21.143881,106.020176,minor,,Bắc Ninh
Hàng Trạm,20.394723,105.622403,minor,,Hòa Bình
Liên Chiểu,16.072723,108.158147,minor,,Đà Nẵng
Liễu Đề,20.220945,106.187471,minor,,Nam Định
K Bang,14.14453,108.599078,minor,,Gia Lai
Phú Quý,10.5166,108.93292,minor,,Bình Thuận
Bình Gia,21.960937,106.364479,minor,,Lạng Sơn
Giồng Riềng,9.909745,105.31433,minor,,Kiến Giang
Nga Sơn,20.007221,105.970442,minor,,Thanh Hóa
An Biên,9.815325,105.063661,minor,,Kiến Giang
Yên Cát,19.663267,105.428537,minor,,Thanh Hóa
Lập Thạch,21.415394,105.460813,minor,,Vĩnh Phúc
Thành Phố Phủ Lý,20.545314,105.912214,admin,,Hà Nam
Thanh Thủy,21.175482,105.283882,minor,,Phú Thọ
Quán Hành,18.779274,105.645965,minor,,Nghệ An
Chơn Thành,11.428207,106.635361,minor,,Bình Phước
Chợ Mới,21.883742,105.772813,minor,,Bắc Kạn
Như Quỳnh,20.981671,105.984864,minor,,Hưng Yên
Phong Điền,9.997528,105.667298,minor,,Cần Thơ
Phong Điền,16.583211,107.364379,minor,,Thừa Thiên-Huế
Quận Bốn,10.766838,106.705742,minor,,Hồ Chí Minh
Prao,15.924377,107.648141,minor,,Quảng Nam
Hợp Hòa,21.375251,105.54256,minor,,Vĩnh Phúc
